Test,State Name,Region Name,System Name,System Code,District Name,District Code,Building Name,Class Name,Class Grade,Date Tested,GUID,Submission ID,Gender,Date of Birth,Age in Months,Age in Years/Months,Ethnicity String ,Battery,Level,Form,Norm Year,Quartermonth,Semester,Programs String,Office Use Subtest Exclusion V,Office Use Subtest Exclusion Q,Office Use Subtest Exclusion N,Office Use Subtest Exclusion VQ,Office Use Subtest Exclusion VN,Office Use Subtest Exclusion QN,Office Use Subtest Exclusion VQN,Code Character String (A-T),Number Attempted (NA) V,Number Attempted (NA) Q,Number Attempted (NA) N,Completion Criteria (CC) V,Completion Criteria (CC) Q,Completion Criteria (CC) N,Completion Criteria (CC) VQ,Completion Criteria (CC) VN,Completion Criteria (CC) QN,Completion Criteria (CC) VQN,Raw Score (RS) V,Raw Score (RS) Q,Raw Score (RS) N,Universal Scale Score (USS) V,Universal Scale Score (USS) Q,Universal Scale Score (USS) N,Universal Scale Score (USS) VQ,Universal Scale Score (USS) VN,Universal Scale Score (USS) QN,Universal Scale Score (USS) VQN,Standard Age Score (SAS) V,Standard Age Score (SAS) Q,Standard Age Score (SAS) N,Standard Age Score (SAS) VQ,Standard Age Score (SAS) VN,Standard Age Score (SAS) QN,Standard Age Score (SAS) VQN,Grade Percentile Rank (GPR) V,Grade Percentile Rank (GPR) Q,Grade Percentile Rank (GPR) N,Grade Percentile Rank (GPR) VQ,Grade Percentile Rank (GPR) VN,Grade Percentile Rank (GPR) QN,Grade Percentile Rank (GPR) VQN,Age Percentile Rank (APR) V,Age Percentile Rank (APR) Q,Age Percentile Rank (APR) N,Age Percentile Rank (APR) VQ,Age Percentile Rank (APR) VN,Age Percentile Rank (APR) QN,Age Percentile Rank (APR) VQN,Grade Stanine (GS) V,Grade Stanine (GS) Q,Grade Stanine (GS) N,Grade Stanine (GS) VQ,Grade Stanine (GS) VN,Grade Stanine (GS) QN,Grade Stanine (GS) VQN,Age Stanine (AS) V,Age Stanine (AS) Q,Age Stanine (AS) N,Age Stanine (AS) VQ,Age Stanine (AS) VN,Age Stanine (AS) QN,Age Stanine (AS) VQN,SAS Valid Flags V,SAS Valid Flags Q,SAS Valid Flags N,SAS Valid Flags VQ,SAS Valid Flags VN,SAS Valid Flags QN,SAS Valid Flags VQN,TMO Flags V,TMO Flags Q,TMO Flags N,TMO Flags VQ,TMO Flags VN,TMO Flags QN,TMO Flags VQN,Extremely Variable Flags V,Extremely Variable Flags Q,Extremely Variable Flags N,Extremely Variable Flags VQ,Extremely Variable Flags VN,Extremely Variable Flags QN,Extremely Variable Flags VQN,Chance Flags  V,Chance Flags  Q,Chance Flags  N,Chance Flags  VQ,Chance Flags  VN,Chance Flags  QN,Chance Flags  VQN,Ability Profile ,Raw Score Personal Standard Error V,Raw Score Personal Standard Error Q,Raw Score Personal Standard Error N,Raw Score Upper Bound V,Raw Score Upper Bound Q,Raw Score Upper Bound N,Raw Score Lower Bound V,Raw Score Lower Bound Q,Raw Score Lower Bound N,SAS Upper Bound V,SAS Upper Bound Q,SAS Upper Bound N,SAS Upper Bound VQ,SAS Upper Bound VN,SAS Upper Bound QN,SAS Upper Bound VQN,SAS Lower Bound  V,SAS Lower Bound  Q,SAS Lower Bound  N,SAS Lower Bound  VQ,SAS Lower Bound  VN,SAS Lower Bound  QN,SAS Lower Bound  VQN,Item Responses,Mode of Administration,TestInstance GUID,Administration Language,Grade_Entering,top-choice school,second-choice school,third-choice school
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,5E2E64C867F34CA89D409EB556BDDFA1        ,19308519,F,10042016,,405,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,20,7,,133,133,,133,,,,,,,,,,,5,2,,2,,,,,,,,,,,2,1,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2.9245,2.2657,,22.9245,9.2657,,17.0755,4.7343,,,,,,,,,,,,,,,,BAC2BB1AA1111ABAC1BCBC222312AAB23B1312B22211A1213113332122222B2B11A11AC3311212B200000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,3D7D4DDAA8394BEA8544E64630FC6110        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,Charles Wright Academy of Arts and Science
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,3AF4B8C476D0435A8E426A07DF4DF5A7        ,19273015,F,11272015,64,504,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,19,12,,132,140,,136,,,,86,97,,90,,,,4,15,,5,,,,19,43,,27,,,,1,3,,2,,,,3,5,,4,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,3.2762,3.0381,,22.2762,15.0381,,15.7238,8.9619,,93.28,104.08,,98,,,,79.44,85.88,,79,,,,BA2A130AA323C2BA23BC1222CABA3AB23323B3B3C211A1CB3C23333B33CC3333CC3323C33B1A211300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,5A2BD4C3C798414386D04BE8D0A03286        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,47DF7A9A53314699BB0E1BE08BD9AC60        ,19430148,M,1282016,62,502,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,22,10,,136,137,,136,,,,94,91,,91,,,,9,8,,5,,,,35,29,,29,,,,2,2,,2,,,,4,4,,4,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2.8848,2.6945,,24.8848,12.6945,,19.1152,7.3055,,102.54,101.38,,97.58,,,,88.24,81.22,,83.63,,,,BACABB1A2B1012BA2311BCA22A3A2A1CAB21BA1A2111A21BA1132B332AC221212233C2C33313C1B300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,CA7117A36E5F483485BB9445FD1A9F72        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,Bates Academy,Bates Academy
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,80007F53143C40E5B42A48D77094A6A0        ,19449191,F,6252016,,409,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,25,9,,141,136,,138,,,,,,,,,,,20,6,,9,,,,,,,,,,,3,2,,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2.7687,2.4647,,27.7687,11.4647,,22.2313,6.5353,,,,,,,,,,,,,,,,BACA33CA3113C3BAC1BCBCAA13132ABCABC11ABA111B21232113A33332CC333B22ABC323B323111300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,7A56D5EC70294A40A241AD65E4FBB707        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,5F01F0DA9EDB4A35AE748E198705AF4E        ,19312430,M,7202016,,408,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,24,12,,139,140,,140,,,,,,,,,,,15,15,,14,,,,,,,,,,,3,3,,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2.8151,2.872,,26.8151,14.872,,21.1849,9.128,,,,,,,,,,,,,,,,BACABB1AAB101ABA23B2BCAA1A33AAB1A1111A1A111131C321CA2B21A3C1A1A112A11A2B33C3113300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,C53EF2A4825145E68F774184C0BDF38D        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,68828445ADEB426894C82E6856DF7CC6        ,19360361,F,8152016,,407,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,20,13,,133,141,,137,,,,,,,,,,,5,19,,7,,,,,,,,,,,2,3,,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,3.0383,6.014,,23.0383,19.014,,16.9617,6.986,,,,,,,,,,,,,,,,BACA3BC3312B13BACB1CB2AA2A333A113123B2B31CBBACC3ACCA313122C233A3123323233B23C23300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,865FCD4163384D47BF42505080FC9090        ,ENU,Kindergarten,Bates Academy,Foreign Language Immersion and Cultural Studies School,Burton International Academy
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,CAE9811817194FAB9A986B73932A0D3B        ,19440377,F,10252016,,405,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,36,0,1,1,0,1,0,0,0,15,9,,128,136,,132,,,,,,,,,,,2,6,,1,,,,,,,,,,,1,2,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,3.0911,2.4647,,18.0911,11.4647,,11.9089,6.5353,,,,,,,,,,,,,,,,33C3131333C3C3BAC1B2B2332A323AB2AB13123A1C1BAC102113312133C13B301133CAC333C3111300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,D8FDBDBC319E4093B1D3106B6D4B54AB        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,Bates Academy,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,72E617682BDF4218B72FEE8E474DB93C        ,19289762,F,5062016,,410,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,41,38,0,1,1,0,1,0,0,0,22,8,,136,135,,136,,,,,,,,,,,9,4,,5,,,,,,,,,,,2,1,,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,3.2005,2.3674,,25.2005,10.3674,,18.7995,5.6326,,,,,,,,,,,,,,,,BACAB3C3AB1B12BAC3B201AACA322ABC33C333B212133113211A232123C1333B21AB23CBB322113300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,EFBE1E71787542C1A1C933FE571E680B        ,ENU,Kindergarten,Chrysler Elementary (Grades K-5),Golightly Education Center,None
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,66DD013D9A424791B46260CC12FE6A66        ,19378696,M,10272016,,405,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,17,13,,130,141,,136,,,,,,,,,,,3,19,,5,,,,,,,,,,,1,3,,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3.0389999999999997,2.9085,,20.039,15.9085,,13.960999999999999,10.0915,,,,,,,,,,,,,,,,BAC3BB132BC323B2C33C1C32C332AA12AB1313B312B3ACC12CC3332333CC3323CC3BC32333C3111300000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,69E7B2A384DA4194A87223E4E8E8FD5E        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,Bates Academy,Chrysler Elementary
COGAT   ,MI                            ,REGION-1                      ,DPSCD                         ,82015,DPSCD                         ,82015,2021-22 App School Testing    ,Kindergarten                  ,0,3172021,2868B4681E6D41FEB7D5CC16C52FA7C5        ,19302807,F,9012016,,406,0000000      1,C,5,7,17,Spring ,3,0,0,0,0,0,0,0,0,0,42,38,0,1,1,0,1,0,0,0,23,10,,137,137,,137,,,,,,,,,,,11,8,,7,,,,,,,,,,,2,2,,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,3.2310000000000003,2.8127,,26.230999999999998,12.8127,,19.769000000000002,7.1873,,,,,,,,,,,,,,,,BA12BBC23B131ABACBB1BC222AB233B23BCB1AB3C213311B311A232B22CC33331233C3CB111A22B200000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,100000000000.0,8894AEAFB54040389C1D01BE953A32B7        ,ENU,Kindergarten,Foreign Language Immersion and Cultural Studies School,None,None
